Time (s),Current (A)
0.0,-3.637979e-09
0.0009765625,-4.656613e-09
0.001953125,-9.749783e-09
0.0029296875,1.455192e-09
0.00390625,3.49246e-09
0.0048828125,-2.619345e-09
0.005859375,-5.820766e-10
0.0068359375,-2.619345e-09
0.0078125,-1.600711e-09
0.0087890625,-6.693881e-09
0.009765625,-6.693881e-09
0.0107421875,-4.656613e-09
0.01171875,-2.619345e-09
0.0126953125,-5.820766e-10
0.013671875,-5.820766e-10
0.0146484375,1.455192e-09
0.015625,-4.656613e-09
0.0166015625,2.473826e-09
0.017578125,4.511094e-09
0.0185546875,-5.820766e-10
0.01953125,-4.656613e-09
0.0205078125,-1.600711e-09
0.021484375,-3.637979e-09
0.0224609375,3.49246e-09
0.0234375,1.455192e-09
0.0244140625,4.511094e-09
0.025390625,1.455192e-09
0.0263671875,2.473826e-09
0.02734375,4.365575e-10
0.0283203125,-4.656613e-09
0.029296875,-1.600711e-09
0.0302734375,-3.637979e-09
0.03125,-1.600711e-09
0.0322265625,-3.637979e-09
0.033203125,4.511094e-09
0.0341796875,7.566996e-09
0.03515625,4.365575e-10
0.0361328125,1.455192e-09
0.037109375,-1.600711e-09
0.0380859375,-8.731149e-09
0.0390625,-1.600711e-09
0.0400390625,-2.619345e-09
0.041015625,1.455192e-09
0.0419921875,1.455192e-09
0.04296875,-2.619345e-09
0.0439453125,-3.637979e-09
0.044921875,3.49246e-09
0.0458984375,4.365575e-10
0.046875,-3.637979e-09
0.0478515625,4.365575e-10
0.048828125,1.455192e-09
0.0498046875,7.566996e-09
0.05078125,8.58563e-09
0.0517578125,8.58563e-09
0.052734375,3.49246e-09
0.0537109375,4.365575e-10
0.0546875,-5.820766e-10
0.0556640625,-5.820766e-10
0.056640625,-5.820766e-10
0.0576171875,-2.619345e-09
0.05859375,-5.820766e-10
0.0595703125,6.548362e-09
0.060546875,4.511094e-09
0.0615234375,7.566996e-09
0.0625,5.529728e-09
0.0634765625,3.49246e-09
0.064453125,1.455192e-09
0.0654296875,-6.693881e-09
0.06640625,1.455192e-09
0.0673828125,6.548362e-09
0.068359375,6.548362e-09
0.0693359375,2.473826e-09
0.0703125,7.566996e-09
0.0712890625,4.365575e-10
0.072265625,-1.600711e-09
0.0732421875,-3.637979e-09
0.07421875,-3.637979e-09
0.0751953125,4.511094e-09
0.076171875,2.473826e-09
0.0771484375,3.49246e-09
0.078125,1.455192e-09
0.0791015625,6.548362e-09
0.080078125,4.511094e-09
0.0810546875,4.365575e-10
0.08203125,3.49246e-09
0.0830078125,-5.820766e-10
0.083984375,1.455192e-09
0.0849609375,4.365575e-10
0.0859375,-5.820766e-10
0.0869140625,-1.600711e-09
0.087890625,6.548362e-09
0.0888671875,6.548362e-09
0.08984375,8.58563e-09
0.0908203125,4.511094e-09
0.091796875,1.455192e-09
0.0927734375,-5.820766e-10
0.09375,-1.600711e-09
0.0947265625,3.49246e-09
0.095703125,2.473826e-09
0.0966796875,4.511094e-09
0.09765625,4.511094e-09
0.0986328125,2.473826e-09
0.099609375,4.511094e-09
0.1005859375,6.548362e-09
