Time (s),Current (A)
0.0,-1.085864e-07
0.0009765625,-1.177541e-07
0.001953125,-1.483131e-07
0.0029296875,-1.615554e-07
0.00390625,-1.870212e-07
0.0048828125,-2.135057e-07
0.005859375,-2.359156e-07
0.0068359375,-2.471206e-07
0.0078125,-2.542511e-07
0.0087890625,-2.695306e-07
0.009765625,-2.807355e-07
0.0107421875,-2.807355e-07
0.01171875,-2.817542e-07
0.0126953125,-2.858287e-07
0.013671875,-2.87866e-07
0.0146484375,-2.980814e-07
0.015625,-2.970628e-07
0.0166015625,-2.980814e-07
0.017578125,-2.950255e-07
0.0185546875,-2.940069e-07
0.01953125,-2.929883e-07
0.0205078125,-2.940069e-07
0.021484375,-2.87866e-07
0.0224609375,-3.041932e-07
0.0234375,-3.041932e-07
0.0244140625,-2.991001e-07
0.025390625,-2.970628e-07
0.0263671875,-3.031746e-07
0.02734375,-3.062305e-07
0.0283203125,-3.174355e-07
0.029296875,-3.32715e-07
0.0302734375,-3.490131e-07
0.03125,-3.948517e-07
0.0322265625,-4.27448e-07
0.033203125,-4.437461e-07
0.0341796875,-4.610629e-07
0.03515625,-4.753238e-07
0.0361328125,-5.099864e-07
0.037109375,-5.711045e-07
0.0380859375,-7.738417e-07
0.0390625,-9.643554e-07
0.0400390625,-1.031585e-06
0.041015625,-1.009175e-06
0.0419921875,-9.735231e-07
0.04296875,-9.399082e-07
0.0439453125,-8.909847e-07
0.044921875,-8.553325e-07
0.0458984375,-8.166244e-07
0.046875,-7.830095e-07
0.0478515625,-7.443014e-07
0.048828125,-7.157505e-07
0.0498046875,-6.790797e-07
0.05078125,-6.383343e-07
0.0517578125,-5.986076e-07
0.052734375,-5.721231e-07
0.0537109375,-5.4462e-07
0.0546875,-5.099864e-07
0.0556640625,-4.875474e-07
0.056640625,-4.58007e-07
0.0576171875,-4.254107e-07
0.05859375,-3.999448e-07
0.0595703125,-3.74479e-07
0.060546875,-3.469759e-07
0.0615234375,-3.276218e-07
0.0625,-3.113237e-07
0.0634765625,-2.899324e-07
0.064453125,-2.695306e-07
0.0654296875,-2.552697e-07
0.06640625,-2.359156e-07
0.0673828125,-2.206361e-07
0.068359375,-2.012821e-07
0.0693359375,-1.890585e-07
0.0703125,-1.809094e-07
0.0712890625,-1.697044e-07
0.072265625,-1.564622e-07
0.0732421875,-1.483131e-07
0.07421875,-1.391454e-07
0.0751953125,-1.330336e-07
0.076171875,-1.259032e-07
0.0771484375,-1.146982e-07
0.078125,-1.024746e-07
0.0791015625,-9.738142e-08
0.080078125,-9.025098e-08
0.0810546875,-9.025098e-08
0.08203125,-8.719508e-08
0.0830078125,-8.413917e-08
0.083984375,-7.392373e-08
0.0849609375,-7.086783e-08
0.0859375,-6.883056e-08
0.0869140625,-5.762558e-08
0.087890625,-5.762558e-08
0.0888671875,-5.660695e-08
0.08984375,-5.253241e-08
0.0908203125,-5.049515e-08
0.091796875,-4.845788e-08
0.0927734375,-5.049515e-08
0.09375,-4.540198e-08
0.0947265625,-3.929017e-08
0.095703125,-4.030881e-08
0.0966796875,-3.317837e-08
0.09765625,-3.11411e-08
0.0986328125,-3.215973e-08
0.099609375,-3.215973e-08
0.1005859375,-3.72529e-08
0.1015625,-3.215973e-08
0.1025390625,-3.11411e-08
0.103515625,-2.910383e-08
0.1044921875,-3.012246e-08
0.10546875,-2.604793e-08
0.1064453125,-2.401066e-08
0.107421875,-2.197339e-08
0.1083984375,-1.993612e-08
0.109375,-2.401066e-08
0.1103515625,-3.11411e-08
0.111328125,-2.299203e-08
0.1123046875,-2.197339e-08
0.11328125,-2.095476e-08
0.1142578125,-2.197339e-08
0.115234375,-2.299203e-08
0.1162109375,-2.095476e-08
0.1171875,-2.095476e-08
0.1181640625,-1.688022e-08
0.119140625,-2.095476e-08
0.1201171875,-1.789886e-08
0.12109375,-2.197339e-08
0.1220703125,-1.688022e-08
0.123046875,-1.789886e-08
0.1240234375,-1.688022e-08
0.125,-1.076842e-08
0.1259765625,-1.484295e-08
0.126953125,-1.484295e-08
0.1279296875,-9.749783e-09
0.12890625,-1.789886e-08
0.1298828125,-1.382432e-08
0.130859375,-1.076842e-08
0.1318359375,-7.712515e-09
0.1328125,-9.749783e-09
0.1337890625,-4.656613e-09
0.134765625,-4.656613e-09
0.1357421875,-2.619345e-09
0.13671875,-1.280569e-08
0.1376953125,-1.586159e-08
0.138671875,-1.280569e-08
0.1396484375,-1.076842e-08
0.140625,-8.731149e-09
0.1416015625,-7.712515e-09
0.142578125,-4.656613e-09
0.1435546875,-1.280569e-08
0.14453125,-1.280569e-08
0.1455078125,-1.076842e-08
0.146484375,-1.484295e-08
0.1474609375,-1.076842e-08
0.1484375,-8.731149e-09
0.1494140625,-1.600711e-09
0.150390625,-5.675247e-09
0.1513671875,-2.619345e-09
0.15234375,-4.656613e-09
0.1533203125,-5.820766e-10
0.154296875,-8.731149e-09
0.1552734375,-3.637979e-09
0.15625,-4.656613e-09
0.1572265625,-6.693881e-09
0.158203125,-5.675247e-09
0.1591796875,-7.712515e-09
0.16015625,2.473826e-09
0.1611328125,4.365575e-10
0.162109375,-3.637979e-09
0.1630859375,4.365575e-10
0.1640625,-5.820766e-10
0.1650390625,-4.656613e-09
0.166015625,-5.675247e-09
0.1669921875,-6.693881e-09
0.16796875,-1.600711e-09
0.1689453125,-2.619345e-09
0.169921875,-5.820766e-10
0.1708984375,-4.656613e-09
0.171875,-4.656613e-09
0.1728515625,-2.619345e-09
0.173828125,-5.820766e-10
0.1748046875,1.455192e-09
0.17578125,-7.712515e-09
0.1767578125,-2.619345e-09
0.177734375,6.548362e-09
