Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0.77,-56.1822,-5.1,1.312,-0.068888,
0.775,-56.5319,-5.1,-0.207,-0.071022,
0.78,-56.8658,-5.2,1.128,-0.064533,
0.785,-57.1966,-5.2,0.819,-0.065066,
0.79,-57.517,-5.2,-0.572,-0.063999,
0.795,-57.8332,-5.2,-2.931,-0.065688,
0.8,-58.1384,-5.2,0.854,-0.060266,
0.805,-58.4387,-5.2,1.822,-0.057511,
0.81,-58.7329,-5.1,1.349,-0.058666,
0.815,-59.01,-5.2,1.13,-0.053777,
0.82,-59.2822,-5.2,-0.484,-0.053155,
0.825,-59.5513,-5.2,-2.021,-0.055288,
0.83,-59.8162,-5.1,2.187,-0.052088,
0.835,-60.075,-5.2,-2.416,-0.049866,
0.84,-60.3271,-5.2,5.602,-0.048266,
0.845,-60.5718,-5.2,1.45,-0.0472,
0.85,-60.8105,-5.1,3.621,-0.042844,
0.855,-61.0375,-5.2,-1.161,-0.043911,
0.86,-61.2536,-5.2,2.014,-0.042311,
0.865,-61.463,-5.2,-2.057,-0.044533,
0.87,-61.6632,-5.2,-0.246,-0.040711,
0.875,-61.8579,-5.2,0.768,-0.039111,
0.88,-62.0489,-5.2,-0.766,-0.039111,
0.885,-62.2259,-5.2,-2.742,-0.034222,
0.89,-62.3992,-5.2,3.037,-0.031466,
0.895,-62.5579,-5.2,0.366,-0.028711,
0.9,-62.7209,-5.2,1.87,-0.031466,
0.905,-62.8698,-5.2,-0.682,-0.028711,
0.91,-63.0102,-5.1,2,-0.024444,
0.915,-63.1506,-5.2,-2.254,-0.026044,
0.92,-63.2726,-5.4,5.913,-0.019466,
0.925,-63.3929,-5.8,-4.644,-0.022222,
0.93,-63.4899,-6.9,3.907,-0.014044,
0.935,-63.5607,-6.9,-5.382,-0.015199,
0.94,-63.6132,-6.6,-0.188,-0.010311,
0.945,-63.6694,-6.6,-5.642,-0.010311,
0.95,-63.7365,-6.6,6.448,-0.008622,
0.955,-63.8098,-6.6,-2.693,-0.014133,
0.96,-63.8824,-6.7,3.038,-0.009777,
0.965,-63.9569,-6.6,-4.119,-0.014666,
0.97,-64.0222,-6.5,6.106,-0.012,
0.975,-64.0759,-6.5,-0.628,-0.010844,
0.98,-64.1094,-6.5,6.831,-0.002666,
0.985,-64.1345,-6.5,-3.525,-0.007111,
0.99,-64.1406,-6.5,6.199,0.002666,
0.995,-64.1424,-6.6,-2.482,0.000533,
1,-64.1473,-6.6,-3.756,-0.004888,
1.005,-64.1894,-6.7,-2.816,-0.015199,
1.01,-64.3133,-6.6,-4.739,-0.031466,
1.015,-64.5355,-6.6,-0.855,-0.0472,
1.02,-64.8504,-6.6,2.381,-0.067822,
1.025,-65.2484,-6.7,-4.229,-0.086844,
1.03,-65.7232,-6.7,0.35,-0.100888,
1.035,-66.2707,-7.3,-4.355,-0.113955,
1.04,-66.8707,-7.8,-5.879,-0.122666,
1.045,-67.4975,-7.4,0.095,-0.126933,
1.05,-68.1335,-7.9,0.6,-0.127466,
1.055,-68.7683,-9,-0.88,-0.127555,
1.06,-69.3804,-10.4,2.81,-0.119822,
1.065,-69.9511,-11.8,3.439,-0.109599,
1.07,-70.4547,-21.7,9.19,-0.088444,
1.075,-70.7073,-33.3,16.006,-0.024355,
1.08,-70.7031,-32.5,0.939,0.009155,
1.085,-70.6927,-31.4,-0.34,-0.001066,
1.09,-70.7122,-32.2,1.284,-0.005955,
1.095,-70.7269,-33.6,-1.196,-0.005955,
1.1,-70.7293,-34.4,-1.519,-0.0016,
1.105,-70.7513,-35.7,-1.68,-0.009244,
1.11,-70.7769,-37.4,2.815,-0.0032,
1.115,-70.7836,-37.7,-0.984,-0.000533,
1.12,-70.7849,-37.4,-1.687,-0.001155,
1.125,-70.7836,-36.9,2.52,0.001688,
1.13,-70.7873,-36.6,2.067,-0.001066,
1.135,-70.7867,-36.5,-0.266,-0.001066,
1.14,-70.7836,-36.8,-3.626,-0.000533,
1.145,-70.7855,-37,-2.986,-0.001155,
1.15,-70.7891,-36.9,0.075,-0.0032,
1.155,-70.7867,-36.6,-3.186,-0.000533,
1.16,-70.7879,-36.5,-2.5,-0.003822,
1.165,-70.7873,-36.4,0.157,0.001066,
1.17,-70.7867,-36.6,1.679,0.0016,
1.175,-70.7879,-36.7,6.13,0.003822,
1.18,-70.7922,-36.6,2.56,-0.001688,
1.185,-70.791,-36.5,-0.7,-0.001688,
1.19,-70.7922,-36.4,-2.887,-0.002755,
1.195,-70.794,-36.6,-2.138,-0.002133,
1.2,-70.7916,-36.8,0.904,0.002666,
1.205,-70.7946,-36.9,-0.373,0.000533,
1.21,-70.7934,-36.8,-0.224,0.000533,
1.215,-70.794,-36.8,-1.752,0,
1.22,-70.7946,-36.7,-0.244,0.000533,
1.225,-70.7958,-36.6,1.788,0.002222,
1.23,-70.7971,-36.7,4.408,-0.001155,
1.235,-70.7971,-36.8,-0.008,0,
1.24,-70.7995,-36.8,5.043,0,
1.245,-70.8007,-36.9,0.929,-0.001066,
1.25,-70.7995,-36.9,-0.413,-0.001066,
1.255,-70.8019,-36.9,-1.033,-0.001066,
1.26,-70.7995,-36.9,-0.187,0.002755,
1.265,-70.8007,-36.8,-3,-0.0032,
1.27,-70.8007,-36.9,0.483,0.001066,
1.275,-70.8007,-37.1,-4.932,0.000533,
1.28,-70.8013,-37.1,2.518,0.002222,
1.285,-70.8056,-36.9,-5.855,-0.002666,
1.29,-70.7995,-36.9,-3.014,0.001066,
1.295,-70.8032,-36.8,2.766,0.001066,
1.3,-70.8044,-36.8,-3.054,-0.0016,
1.305,-70.8056,-36.9,2.178,0.001066,
1.31,-70.8038,-37,0.6,0.0016,
1.315,-70.8032,-37,2.393,0.000533,
1.32,-70.8044,-37,-1.76,-0.0016,
1.325,-70.8062,-36.9,0.955,0.000533,
1.33,-70.8026,-37,3.034,0.0016,
1.335,-70.8068,-37,0.881,-0.002666,
1.34,-70.8062,-37.1,-0.215,0,
1.345,-70.8044,-37,0.596,0.002133,
1.35,-70.8062,-37,0.022,0,
1.355,-70.8062,-37,0.891,0.000533,
1.36,-70.8068,-37,0.059,0,
1.365,-70.8068,-37,-2.93,-0.000533,
1.37,-70.8068,-37,-1.05,-0.000533,
1.375,-70.8062,-37,0.396,0.000533,
1.38,-70.8068,-37,1.837,0.001688,
1.385,-70.8099,-37.1,-0.545,-0.003288,
1.39,-70.8068,-37.1,-0.687,0,
1.395,-70.8062,-37.1,4.704,0.004355,
1.4,-70.8074,-37,-0.932,0,
1.405,-70.8068,-37,0.873,0.005955,
1.41,-70.8087,-37.1,-4.036,-0.001688,
1.415,-70.8117,-37.1,0.959,-0.000533,
1.42,-70.8117,-37.1,-1.839,-0.003822,
1.425,-70.8129,-37.1,3.998,-0.001066,
1.43,-70.8123,-37.1,2.551,0.001066,
1.435,-70.8142,-37.1,2.279,-0.000622,
1.44,-70.8123,-37.1,5.709,-0.000533,
1.445,-70.8123,-37.1,-4.74,-0.000533,
1.45,-70.8135,-37.2,2.909,-0.000533,
1.455,-70.8142,-37.2,-3.43,-0.002222,
1.46,-70.8129,-37.2,1.92,0.001155,
1.465,-70.8105,-37.2,-6.571,0.0016,
1.47,-70.8142,-37.1,-0.945,-0.004355,
1.475,-70.8172,-37.1,0.984,-0.004355,
1.48,-70.8105,-37.2,-0.331,0.001066,
1.485,-70.8087,-37.2,3.972,0.008088,
1.49,-70.8142,-37.2,5.756,0,
1.495,-70.8142,-37.2,0.098,0,
1.5,-70.8135,-37.2,0.504,0.000622,
1.505,-70.8184,-37.2,-4.977,-0.004355,
1.51,-70.8129,-37.2,0.541,0.003822,
1.515,-70.816,-37.3,-2.554,0,
1.52,-70.8178,-37.2,2.755,-0.000533,
1.525,-70.8142,-37.3,2.749,0,
1.53,-70.8142,-37.4,1.107,0.000533,
1.535,-70.8154,-37.3,-6.676,-0.007111,
1.54,-70.8172,-37.3,-0.996,-0.002666,
1.545,-70.8184,-37.4,-1.3,-0.002666,
1.55,-70.8172,-37.3,-2.18,0.001066,
1.555,-70.8148,-37.3,4.204,0.003733,
1.56,-70.8166,-37.4,2.017,0.002133,
1.565,-70.8178,-37.3,0.97,0.001066,
1.57,-70.8172,-37.3,-0.246,0.0016,
1.575,-70.819,-37.3,2.019,-0.001066,
1.58,-70.8172,-37.3,1.852,0.002755,
1.585,-70.8178,-37.4,-0.154,-0.001066,
1.59,-70.8203,-37.4,-0.678,-0.001688,
1.595,-70.8142,-37.3,7.991,0.006488,
1.6,-70.8129,-37.1,5.897,0.004355,
1.605,-70.8019,-36.4,1.167,0.001155,
1.61,-70.7708,-34.5,0.731,0.010311,
1.615,-70.6988,-29.7,7.414,0.021155,
1.62,-70.6024,-24.2,-1.308,0.02,
1.625,-70.4711,-18.8,2.442,0.033688,
1.63,-70.3161,-14.7,-2.616,0.035822,
1.635,-70.0848,-13,6.214,0.054755,
1.64,-69.721,-12,9.535,0.085688,
1.645,-69.2083,-11.1,7.805,0.113422,
1.65,-68.5687,-10.3,4.14,0.135644,
1.655,-67.857,-9.4,1.21,0.146488,
1.66,-67.1246,-8.5,0.79,0.147555,
1.665,-66.4251,-7.4,-1.815,0.133511,
1.67,-65.8019,-6.6,-3.863,0.117244,
1.675,-65.296,-6.2,-1.387,0.093244,
1.68,-64.9102,-6.4,-2.333,0.068888,
1.685,-64.6331,-6.7,-1.972,0.048888,
1.69,-64.4695,-6.7,-6.693,0.020622,
1.695,-64.4012,-6.6,-6.991,0.004888,
1.7,-64.4049,-6.3,2.709,-0.001155,
1.705,-64.403,-6.4,-0.673,-0.000533,
1.71,-64.4012,-6.4,0.312,0.001066,
1.715,-64.4012,-6.5,4.166,0.004355,
1.72,-64.4012,-6.4,3.131,0.001066,
1.725,-64.4024,-6.5,1.819,0.002755,
1.73,-64.4024,-6.4,3.375,0.001066,
1.735,-64.403,-6.4,0.928,0.000533,
1.74,-64.4012,-6.4,-0.746,-0.001066,
1.745,-64.4024,-6.5,2.417,0.0016,
1.75,-64.4049,-6.5,4.677,0.0016,
1.755,-64.4042,-6.4,-0.727,-0.000533,
1.76,-64.4024,-6.5,1.405,0.003288,
1.765,-64.4012,-6.4,0.542,0.001066,
1.77,-64.4024,-6.5,-3.195,-0.000533,
1.775,-64.4024,-6.5,2.831,0.000533,
1.78,-64.4012,-6.4,1.255,0.002133,
1.785,-64.4061,-6.4,-2.166,0,
1.79,-64.4012,-6.5,0.022,0.001066,
1.795,-64.4018,-6.4,-2.996,0,
1.8,-64.4006,-6.5,-2.145,0.000533,
1.805,-64.4012,-6.4,-0.821,0,
1.81,-64.4012,-6.4,1.475,0.002133,
1.815,-64.4012,-6.4,2.168,0.0016,
1.82,-64.4,-6.5,4.546,0.003733,
1.825,-64.4024,-6.4,3.191,0.003288,
1.83,-64.4049,-6.4,-0.138,-0.002222,
1.835,-64.4012,-6.5,-1.111,0,
1.84,-64.4024,-6.5,1.562,0.001066,
1.845,-64.4024,-6.4,0.336,0.000533,
1.85,-64.403,-6.4,-3.157,-0.0016,
1.855,-64.4055,-6.4,-3.646,-0.003822,
1.86,-64.4024,-6.4,4.95,0.002755,
1.865,-64.4012,-6.5,1.889,0.003288,
1.87,-64.4024,-6.4,6.584,0.002222,
1.875,-64.4012,-6.5,3.522,0.001066,
1.88,-64.4018,-6.4,1.659,0.0016,
1.885,-64.4024,-6.5,1.002,-0.001066,
1.89,-64.4036,-6.5,3.887,-0.001066,
1.895,-64.4018,-6.4,0.928,0,
1.9,-64.4036,-6.5,1.932,0.001155,
1.905,-64.4,-6.4,-2.16,0.000533,
1.91,-64.4012,-6.4,2.139,0.003288,
1.915,-64.4012,-6.5,0.187,0,
1.92,-64.4049,-6.4,2.939,0,
1.925,-64.4018,-6.5,1.863,0.002755,
1.93,-64.3987,-6.5,1.144,0.004355,
1.935,-64.4042,-6.4,-3.045,-0.0032,
1.94,-64.4061,-6.5,3.038,-0.001066,
1.945,-64.4036,-6.5,0.261,-0.001066,
1.95,-64.4036,-6.4,2.926,0.001688,
1.955,-64.4049,-6.4,4.848,0,
1.96,-64.4024,-6.5,1.82,-0.002133,
1.965,-64.403,-6.4,2.957,0.003288,
1.97,-64.4012,-6.5,-1.28,0.003288,
1.975,-64.4067,-6.5,2.079,-0.002755,
1.98,-64.3987,-6.5,2.026,0.005511,
1.985,-64.4049,-6.5,0.029,-0.003288,
1.99,-64.4061,-6.4,-2.33,-0.002222,
1.995,-64.4024,-6.4,0.46,0,
2,-64.4036,-6.5,0.001,-0.000533,
2.005,-64.4049,-6.5,0.549,-0.001155,
2.01,-64.4042,-6.5,1.531,0.001688,
2.015,-64.4012,-6.4,-0.713,0.003288,
2.02,-64.4042,-6.4,-2.045,-0.000533,
2.025,-64.4061,-6.5,-3.789,-0.002222,
2.03,-64.4049,-6.4,2.487,0.0016,
2.035,-64.4012,-6.5,-0.85,0.003288,
2.04,-64.4012,-6.4,-4.597,0,
2.045,-64.4012,-6.4,-1.912,0.002666,
2.05,-64.4,-6.5,-1.295,0.002133,
2.055,-64.4024,-6.4,-2.791,0,
2.06,-64.4012,-6.5,-0.549,0.003288,
2.065,-64.4,-6.5,-2.831,0.001066,
2.07,-64.4012,-6.5,1.217,0.002133,
2.075,-64.4024,-6.4,-1.954,-0.003822,
2.08,-64.4012,-6.5,-1.275,0,
2.085,-64.4036,-6.5,-6.116,-0.002133,
2.09,-64.4,-6.4,-0.975,0.001066,
2.095,-64.4049,-6.5,-2.492,-0.002755,
2.1,-64.4024,-6.4,-3.116,-0.002133,
2.105,-64.4024,-6.4,0.826,0.002222,
2.11,-64.4012,-6.5,0.202,-0.001066,
2.115,-64.4012,-6.4,-1.091,0.001066,
2.12,-64.4024,-6.4,0.127,0.002222,
2.125,-64.4012,-6.5,-2.413,0,
2.13,-64.4,-6.4,3.628,0.0032,
2.135,-64.4018,-6.5,-0.482,0.003288,
2.14,-64.4024,-6.4,-4.391,-0.001066,
2.145,-64.4012,-6.5,0.036,0.000533,
2.15,-64.4024,-6.4,-2.226,-0.002133,
2.155,-64.4018,-6.5,2.12,0.0016,
2.16,-64.4018,-6.4,-2.411,-0.002755,
2.165,-64.4049,-6.5,-1.855,0.001066,
2.17,-64.3987,-6.4,-0.013,0.002222,
2.175,-64.4024,-6.4,0.422,0.001066,
2.18,-64.4042,-6.4,-1.652,-0.000533,
2.185,-64.4024,-6.5,-4.563,-0.002666,
2.19,-64.3994,-6.5,-1.2,0.002666,
2.195,-64.4012,-6.5,1.819,0.001066,
2.2,-64.4036,-6.5,-5.773,-0.002133,
2.205,-64.4219,-6.5,-0.006,-0.002133,
2.21,-64.4836,-6.6,-3.68,-0.0168,
2.215,-64.6362,-6.7,-7.632,-0.034755,
2.22,-64.8944,-6.8,-8.3,-0.057511,
2.225,-65.2618,-7,-3.971,-0.083022,
2.23,-65.7287,-7.4,-5.013,-0.100888,
2.235,-66.2853,-7.2,-4.729,-0.118755,
2.24,-66.8951,-7.3,-3.635,-0.125866,
2.245,-67.5335,-7.9,-0.934,-0.128533,
2.25,-68.1774,-9.1,-3.173,-0.129599,
2.255,-68.8073,-10.4,-1.185,-0.121511,
2.26,-69.4164,-11.9,2.245,-0.118755,
2.265,-69.9713,-13.3,3.423,-0.106933,
2.27,-70.465,-22.1,3.031,-0.090577,
2.275,-70.7263,-34.3,16.878,-0.026577,
2.28,-70.7177,-33.6,2.383,0.009777,
2.285,-70.711,-32.2,1.802,-0.002133,
2.29,-70.7232,-33.2,-3.869,-0.004355,
2.295,-70.7421,-34.5,-2.506,-0.004888,
2.3,-70.744,-35.2,-4.905,-0.003288,
2.305,-70.7604,-36.4,1.197,-0.002133,
2.31,-70.7903,-38.1,6.279,-0.0048,
2.315,-70.794,-38.4,-0.778,0.000533,
2.32,-70.7958,-38,0.423,0,
2.325,-70.7958,-37.5,-0.124,-0.001066,
2.33,-70.7958,-37.2,-0.779,0,
2.335,-70.7934,-37.2,0.69,0.002755,
2.34,-70.7958,-37.4,-0.972,0,
2.345,-70.7977,-37.6,-0.944,-0.001688,
2.35,-70.7952,-37.6,-0.142,0,
2.355,-70.7958,-37.3,-1.013,0,
2.36,-70.7971,-37.2,1.288,-0.001155,
2.365,-70.7958,-37.1,1.759,0.003288,
2.37,-70.8001,-37.3,-3.23,-0.002666,
2.375,-70.8007,-37.3,-1.757,-0.000533,
2.38,-70.8007,-37.3,0.614,0,
2.385,-70.7995,-37.1,-0.949,0.001066,
2.39,-70.7983,-37.1,-2.452,0.000533,
2.395,-70.8013,-37.3,-1.486,0.001155,
2.4,-70.8007,-37.4,-2.242,0,
2.405,-70.8044,-37.5,2.08,-0.001066,
2.41,-70.8044,-37.4,-1.896,-0.002755,
2.415,-70.8062,-37.4,2.254,0.000533,
2.42,-70.8068,-37.2,-3.218,-0.004355,
2.425,-70.8026,-37.1,-0.605,0.003733,
2.43,-70.8068,-37.2,-0.198,0,
2.435,-70.8062,-37.3,0.398,0.000533,
2.44,-70.8056,-37.4,0.416,0,
2.445,-70.8044,-37.4,0.571,0.002133,
2.45,-70.8068,-37.4,0.948,0.000533,
2.455,-70.8068,-37.3,-1.132,0,
2.46,-70.8117,-37.3,-1.45,-0.004355,
2.465,-70.8111,-37.3,2.348,-0.002133,
2.47,-70.8105,-37.4,1.339,-0.003288,
2.475,-70.8135,-37.5,-2.734,-0.005955,
2.48,-70.8068,-37.5,4.484,0.003822,
2.485,-70.8111,-37.5,0.63,0.000533,
2.49,-70.8123,-37.4,-3.326,-0.004888,
2.495,-70.8087,-37.3,4.384,0.003733,
2.5,-70.8081,-37.3,-0.869,0,
2.505,-70.8129,-37.3,-2.071,-0.002666,
2.51,-70.8081,-37.4,-1.47,0.001066,
2.515,-70.8142,-37.4,3.749,-0.001688,
2.52,-70.8142,-37.4,-0.954,-0.005422,
2.525,-70.8087,-37.4,0.84,0.0032,
2.53,-70.8178,-37.4,-0.758,-0.007555,
2.535,-70.8148,-37.4,1.014,-0.001688,
2.54,-70.8129,-37.4,-5.41,-0.0032,
2.545,-70.8081,-37.4,1.033,0.0016,
2.55,-70.8105,-37.4,7.413,0.003822,
2.555,-70.8142,-37.4,5.145,-0.000622,
2.56,-70.8099,-37.4,-2.882,0.000533,
2.565,-70.8154,-37.4,3.229,-0.002755,
2.57,-70.8172,-37.3,0.75,-0.004355,
2.575,-70.8123,-37.4,5.481,0.003288,
2.58,-70.8123,-37.4,2.712,0.000533,
2.585,-70.8172,-37.4,2.27,-0.002666,
2.59,-70.8142,-37.5,2.527,0.001066,
2.595,-70.8099,-37.4,-2.676,0.004355,
2.6,-70.8184,-37.4,0.465,-0.0032,
2.605,-70.8148,-37.4,0.54,-0.002222,
2.61,-70.8099,-37.4,2.719,0.004888,
2.615,-70.8172,-37.4,-0.922,-0.001066,
2.62,-70.8184,-37.5,-1.273,-0.000533,
2.625,-70.8142,-37.4,2.561,0.001066,
2.63,-70.8135,-37.4,0.697,0.001688,
2.635,-70.8154,-37.4,1.598,0,
2.64,-70.8172,-37.4,0.791,-0.002666,
2.645,-70.8203,-37.4,0.057,-0.002222,
2.65,-70.8178,-37.4,2.293,0.001066,
2.655,-70.8203,-37.4,-0.502,-0.004355,
2.66,-70.819,-37.5,-1.418,-0.0032,
2.665,-70.816,-37.5,-0.811,0,
2.67,-70.8196,-37.4,-2.549,0.000622,
2.675,-70.819,-37.4,2.666,-0.0016,
2.68,-70.8203,-37.4,2.099,-0.000622,
2.685,-70.8203,-37.4,0.386,-0.003288,
