Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.1539,-5.1,1.026,-0.001155,
0.005,-0.1532,-5,3.597,0.001688,
0.01,-0.1563,-5.1,-2.213,-0.004888,
0.015,-0.1532,-5,2.661,0.001688,
0.02,-0.1532,-5.1,-1.068,0.000622,
0.025,-0.1514,-5,-0.528,0.002755,
0.03,-0.1557,-5.1,-3.47,-0.000533,
0.035,-0.1563,-5,5.263,0,
0.04,-0.1587,-5.1,-3.475,-0.002133,
0.045,-0.1587,-5,0.837,-0.001066,
0.05,-0.1593,-5.1,-2.428,-0.002133,
0.055,-0.1575,-5,1.234,0.0016,
0.06,-0.1654,-5.1,-2.739,-0.0032,
0.065,-0.1709,-5.1,5.021,0.002755,
0.07,-0.1716,-5.1,-5.85,-0.001688,
0.075,-0.1777,-5,0.531,0,
0.08,-0.1813,-5.1,-3.63,-0.004355,
0.085,-0.194,-5.3,1.525,-0.003733,
0.09,-0.285,-5.6,-4.175,-0.028799,
0.095,-0.4626,-5.4,0.112,-0.042311,
0.1,-0.6872,-5.2,-6.8,-0.048266,
0.105,-0.924,-5,3.858,-0.043911,
0.11,-1.145,-4.9,0.911,-0.041244,
0.115,-1.3415,-4.8,3.073,-0.0336,
0.12,-1.5075,-4.9,-2.502,-0.030933,
0.125,-1.643,-5,9.237,-0.020622,
0.13,-1.7761,-5.2,-3.973,-0.028799,
0.135,-1.914,-5.1,-1.375,-0.030933,
0.14,-2.069,-5.2,-4.266,-0.0352,
0.145,-2.243,-5.2,3.679,-0.037955,
0.15,-2.4389,-5.2,-9.435,-0.042311,
0.155,-2.6592,-5.1,1.282,-0.044977,
0.16,-2.8918,-5.2,-3.778,-0.050488,
0.165,-3.1298,-5.1,4.155,-0.049333,
0.17,-3.3746,-5.1,-2.037,-0.051555,
0.175,-3.6199,-5.1,-0.193,-0.049333,
0.18,-3.869,-5.1,-2.924,-0.053777,
0.185,-4.1101,-5.1,6.196,-0.0472,
0.19,-4.367,-5.2,-1.472,-0.053155,
0.195,-4.6282,-5.1,2.258,-0.053155,
0.2,-4.9053,-5.1,-5.771,-0.059111,
0.205,-5.1885,-5.1,2.105,-0.055822,
0.21,-5.4925,-5.1,-4.617,-0.064533,
0.215,-5.7946,-5.1,2.816,-0.064533,
0.22,-6.1096,-5.1,-3.014,-0.068355,
0.225,-6.4251,-5.1,3.915,-0.063999,
0.23,-6.7492,-5.1,-1.878,-0.066222,
0.235,-7.0764,-5.1,2.931,-0.067288,
0.24,-7.4096,-5.2,-3.756,-0.068888,
0.245,-7.7526,-5.2,2.152,-0.068888,
0.25,-8.1048,-5.2,-3.58,-0.072177,
0.255,-8.4698,-5.1,2.711,-0.072711,
0.26,-8.8439,-5.2,-4.276,-0.076444,
0.265,-9.2236,-5.2,0.706,-0.076533,
0.27,-9.605,-5.2,0.945,-0.076444,
0.275,-9.992,-5.1,0.168,-0.075911,
0.28,-10.3906,-5.1,-3.135,-0.0792,
0.285,-10.7897,-5.2,4.821,-0.0808,
0.29,-11.2017,-5.2,-6.544,-0.086755,
0.295,-11.6192,-5.2,-0.595,-0.084088,
0.3,-12.0477,-5.2,-3.505,-0.088444,
0.305,-12.478,-5.2,0.899,-0.090666,
0.31,-12.9058,-5.2,-5.506,-0.087288,
0.315,-13.3477,-5.1,3.427,-0.086222,
0.32,-13.7939,-5.2,-2.692,-0.089511,
0.325,-14.2401,-5.2,-0.525,-0.091733,
0.33,-14.6923,-5.2,-4.378,-0.093333,
0.335,-15.1464,-5.2,0.985,-0.088444,
0.34,-15.6091,-5.2,-4.004,-0.095466,
0.345,-16.0729,-5.2,-0.99,-0.092711,
0.35,-16.5301,-5.2,-2.509,-0.0944,
0.355,-16.9842,-5.2,1.003,-0.089511,
0.36,-17.4517,-5.2,-0.594,-0.094933,
0.365,-17.926,-5.2,-0.855,-0.096622,
0.37,-18.4039,-5.2,-0.096,-0.097155,
0.375,-18.8848,-5.2,-1.746,-0.096,
0.38,-19.3646,-5.2,2.031,-0.095555,
0.385,-19.8413,-5.2,1.482,-0.0944,
0.39,-20.3204,-5.2,-2.299,-0.096088,
0.395,-20.8019,-5.2,1.289,-0.095466,
0.4,-21.2853,-5.2,-5.413,-0.0944,
0.405,-21.7718,-5.2,-3.921,-0.100888,
0.41,-22.2528,-5.2,-0.446,-0.096088,
0.415,-22.7282,-5.3,-1.22,-0.095466,
0.42,-23.2055,-5.3,-4.391,-0.097066,
0.425,-23.6914,-5.2,0.242,-0.095555,
0.43,-24.1735,-5.3,3.789,-0.092711,
0.435,-24.663,-5.2,4.122,-0.093866,
0.44,-25.1556,-5.3,-7.534,-0.099822,
0.445,-25.6463,-5.3,0.382,-0.099288,
0.45,-26.1383,-5.3,-2.686,-0.098755,
0.455,-26.6314,-5.3,-0.918,-0.099822,
0.46,-27.1276,-5.3,-3.685,-0.098133,
0.465,-27.6251,-5.2,-0.84,-0.100977,
0.47,-28.1249,-5.3,0.762,-0.100355,
0.475,-28.626,-5.2,1.401,-0.099288,
0.48,-29.1271,-5.2,2.105,-0.098133,
0.485,-29.6343,-5.2,0.699,-0.103022,
0.49,-30.1476,-5.3,-1.496,-0.106311,
0.495,-30.6664,-5.2,1.761,-0.104622,
0.5,-31.1932,-5.2,2.681,-0.108533,
0.505,-31.7211,-5.2,1.252,-0.105777,
0.51,-32.257,-5.2,4.072,-0.108444,
0.515,-32.7856,-5.2,-1.9,-0.111199,
0.52,-33.3117,-5.2,0.443,-0.105244,
0.525,-33.8354,-5.2,-0.273,-0.103111,
0.53,-34.3499,-5.2,0.515,-0.099822,
0.535,-34.8675,-5.2,0.229,-0.099822,
0.54,-35.3808,-5.2,2.666,-0.097688,
0.545,-35.8984,-5.2,1.393,-0.102044,
0.55,-36.4233,-5.2,1.136,-0.104177,
0.555,-36.9464,-5.2,0.694,-0.104711,
0.56,-37.4676,-5.2,-0.514,-0.105244,
0.565,-37.9894,-5.2,0.061,-0.103555,
0.57,-38.5034,-5.1,-0.503,-0.103111,
0.575,-39.0185,-5.2,0.729,-0.103111,
0.58,-39.5257,-5.2,0.939,-0.100888,
0.585,-40.0335,-5.1,0.232,-0.103644,
0.59,-40.5297,-5.1,1.312,-0.096533,
0.595,-41.0272,-5.2,0.237,-0.102044,
0.6,-41.5173,-5.1,3.023,-0.099822,
0.605,-42.0098,-5.1,-0.594,-0.095466,
0.61,-42.5079,-5.1,6.028,-0.097688,
0.615,-42.9974,-5.2,-1.699,-0.100355,
0.62,-43.4802,-5.1,2.15,-0.0944,
0.625,-43.9605,-5.1,-0.853,-0.0944,
0.63,-44.4348,-5.2,-1.289,-0.0928,
0.635,-44.9066,-5.1,1.317,-0.0912,
0.64,-45.3692,-5.1,-1.394,-0.090577,
0.645,-45.8319,-5.2,-3.764,-0.093333,
0.65,-46.2902,-5.1,1.318,-0.092711,
0.655,-46.7407,-5.1,-0.314,-0.087377,
0.66,-47.1862,-5.2,1.327,-0.089511,
0.665,-47.6299,-5.2,-0.811,-0.088888,
0.67,-48.0792,-5.1,5.79,-0.087377,
0.675,-48.5247,-5.2,-1.165,-0.089511,
0.68,-48.9697,-5.1,3.533,-0.087377,
0.685,-49.4152,-5.2,-5.299,-0.090577,
0.69,-49.851,-5.1,4.489,-0.085688,
0.695,-50.2862,-5.2,-1.317,-0.088977,
0.7,-50.711,-5.1,1.235,-0.083022,
0.705,-51.1315,-5.1,4.029,-0.081333,
0.71,-51.5527,-5.2,-3,-0.086311,
0.715,-51.958,-5.2,-1.727,-0.078133,
0.72,-52.3681,-5.1,2.977,-0.078133,
0.725,-52.7673,-5.1,-0.048,-0.078133,
0.73,-53.164,-5.1,-0.356,-0.078133,
0.735,-53.5565,-5.1,-0.34,-0.081955,
0.74,-53.9446,-5.2,3.871,-0.073777,
0.745,-54.3328,-5.2,2.171,-0.073244,
0.75,-54.7174,-5.1,-0.283,-0.075466,
0.755,-55.0958,-5.2,0.225,-0.074933,
0.76,-55.4644,-5.1,3.253,-0.072177,
0.765,-55.8276,-5.2,1.593,-0.072711,
