Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0.195,-4.6239,-5.1,0.1,-0.051022,
0.2,-4.901,-5.1,-4.798,-0.056977,
0.205,-5.1775,-5.2,4.237,-0.053777,
0.21,-5.4692,-5.2,-0.791,-0.059644,
0.215,-5.7689,-5.2,-2.265,-0.061866,
0.22,-6.0777,-5.1,-2.697,-0.063466,
0.225,-6.3933,-5.1,2.872,-0.061333,
0.23,-6.7174,-5.2,0.623,-0.063999,
0.235,-7.0445,-5.2,-4.566,-0.064533,
0.24,-7.3815,-5.2,-2.618,-0.071111,
0.245,-7.7239,-5.2,-0.214,-0.069511,
0.25,-8.0785,-5.2,-3.637,-0.073777,
0.255,-8.4367,-5.2,2.761,-0.071555,
0.26,-8.8127,-5.1,-3.217,-0.078133,
0.265,-9.1911,-5.2,1.883,-0.073777,
0.27,-9.5769,-5.2,-4.444,-0.0776,
0.275,-9.9712,-5.2,3.82,-0.079733,
0.28,-10.3703,-5.2,-2.137,-0.081333,
0.285,-10.7713,-5.2,1.41,-0.078666,
0.29,-11.1803,-5.2,-1.693,-0.086311,
0.295,-11.5856,-5.2,1.82,-0.076533,
0.3,-12.014,-5.2,5.676,-0.082488,
0.305,-12.4431,-5.1,1.717,-0.085155,
0.31,-12.8771,-5.2,-4.037,-0.092266,
0.315,-13.3061,-5.2,-3.138,-0.085688,
0.32,-13.7499,-5.2,0.605,-0.088977,
0.325,-14.1954,-5.3,2.023,-0.085688,
0.33,-14.6489,-5.3,-4.848,-0.091111,
0.335,-15.1067,-5.2,0.655,-0.088444,
0.34,-15.5699,-5.2,1.782,-0.092177,
0.345,-16.0375,-5.2,2.14,-0.0928,
0.35,-16.5044,-5.2,-0.035,-0.0928,
0.355,-16.9731,-5.2,4.363,-0.0944,
0.36,-17.4407,-5.2,-1.233,-0.095022,
0.365,-17.907,-5.2,-0.361,-0.094933,
0.37,-18.3769,-5.2,-0.637,-0.093866,
0.375,-18.8512,-5.3,-0.777,-0.093866,
0.38,-19.3285,-5.2,1.671,-0.096622,
0.385,-19.8015,-5.2,-1.119,-0.095466,
0.39,-20.2806,-5.2,1.19,-0.0944,
0.395,-20.7683,-5.2,-1.39,-0.100888,
0.4,-21.2523,-5.2,-3.77,-0.100355,
0.405,-21.7418,-5.2,-1.019,-0.100888,
0.41,-22.224,-5.2,-3.13,-0.096088,
0.415,-22.7104,-5.2,1.073,-0.098755,
0.42,-23.1938,-5.3,1.034,-0.098133,
0.425,-23.6687,-5.3,-0.795,-0.095466,
0.43,-24.1484,-5.3,-3.022,-0.093333,
0.435,-24.633,-5.3,1.712,-0.0944,
0.44,-25.1238,-5.3,1.285,-0.095022,
0.445,-25.609,-5.3,1.78,-0.096,
0.45,-26.1009,-5.4,-1.881,-0.101422,
0.455,-26.5965,-5.3,-0.44,-0.097066,
0.46,-27.097,-5.3,1.63,-0.0976,
0.465,-27.5975,-5.3,0.448,-0.098222,
0.47,-28.1004,-5.3,-2.895,-0.101955,
0.475,-28.6064,-5.3,-0.424,-0.100355,
0.48,-29.1106,-5.3,-2.146,-0.098755,
0.485,-29.6159,-5.2,3.626,-0.100888,
0.49,-30.1244,-5.3,0.54,-0.102577,
0.495,-30.6383,-5.2,2.15,-0.103644,
0.5,-31.1565,-5.2,1.424,-0.100977,
0.505,-31.6814,-5.3,2.099,-0.102044,
0.51,-32.2167,-5.2,3.108,-0.105333,
0.515,-32.744,-5.2,-1.773,-0.104177,
0.52,-33.2738,-5.2,3.516,-0.099288,
0.525,-33.8078,-5.2,0.048,-0.110133,
0.53,-34.3279,-5.2,0.954,-0.102044,
0.535,-34.8491,-5.2,0.522,-0.101955,
0.54,-35.3655,-5.2,2.523,-0.102044,
0.545,-35.8788,-5.2,3.353,-0.102577,
0.55,-36.3994,-5.2,-0.099,-0.106311,
0.555,-36.9139,-5.3,-1.3,-0.104711,
0.56,-37.4291,-5.2,0.349,-0.102044,
0.565,-37.9515,-5.2,-0.06,-0.106311,
0.57,-38.4654,-5.2,-0.435,-0.103555,
0.575,-38.9806,-5.2,0.907,-0.104177,
0.58,-39.4927,-5.2,0.22,-0.099822,
0.585,-40.0017,-5.2,-2.711,-0.104177,
0.59,-40.5058,-5.2,-1.062,-0.101422,
0.595,-41.0094,-5.2,2.75,-0.101511,
0.6,-41.5007,-5.1,2.967,-0.098222,
0.605,-41.9981,-5.2,1.741,-0.101955,
0.61,-42.484,-5.2,0.171,-0.091733,
0.615,-42.9717,-5.2,-0.345,-0.097688,
0.62,-43.4502,-5.2,2.786,-0.093333,
0.625,-43.9287,-5.2,-5.682,-0.098222,
0.63,-44.4011,-5.2,-0.267,-0.093333,
0.635,-44.8741,-5.2,-0.651,-0.092711,
0.64,-45.3441,-5.2,0.741,-0.0944,
0.645,-45.8092,-5.2,-4.048,-0.096,
0.65,-46.2657,-5.2,-1.809,-0.091644,
0.655,-46.7223,-5.2,-2.067,-0.090044,
0.66,-47.1752,-5.2,1.952,-0.088977,
0.665,-47.6195,-5.2,-0.089,-0.090044,
0.67,-48.0583,-5.2,2.112,-0.086755,
0.675,-48.5027,-5.2,1.313,-0.088444,
0.68,-48.9476,-5.2,2.198,-0.085688,
0.685,-49.3871,-5.1,0.445,-0.086311,
0.69,-49.8198,-5.2,2.686,-0.083022,
0.695,-50.2574,-5.2,-4.673,-0.088444,
0.7,-50.6877,-5.2,1.492,-0.086222,
0.705,-51.1089,-5.1,1.953,-0.085244,
0.71,-51.5294,-5.2,0.099,-0.085155,
0.715,-51.9389,-5.1,1.605,-0.079733,
0.72,-52.3503,-5.2,2.332,-0.079733,
0.725,-52.7489,-5.2,-0.745,-0.0776,
0.73,-53.1493,-5.2,2.745,-0.075466,
0.735,-53.5375,-5.2,-1.296,-0.075466,
0.74,-53.9263,-5.2,2.208,-0.073244,
0.745,-54.3108,-5.2,1.986,-0.074933,
0.75,-54.691,-5.2,0.647,-0.076444,
0.755,-55.07,-5.2,-4.295,-0.078044,
0.76,-55.4454,-5.2,1.146,-0.075377,
0.765,-55.8086,-5.2,2.493,-0.071644,
0.77,-56.1632,-5.2,2.159,-0.069422,
0.775,-56.5123,-5.2,-0.746,-0.070488,
0.78,-56.848,-5.2,3.797,-0.065066,
0.785,-57.18,-5.2,-0.588,-0.066133,
0.79,-57.5029,-5.2,0.934,-0.061866,
0.795,-57.8215,-5.2,3.181,-0.061866,
0.8,-58.1304,-5.2,1.171,-0.059733,
0.805,-58.4306,-5.2,-0.977,-0.060711,
0.81,-58.723,-5.2,1.128,-0.056444,
0.815,-59.0086,-5.2,-2.325,-0.056355,
0.82,-59.2809,-5.2,2.756,-0.051022,
0.825,-59.5445,-5.2,-1.475,-0.053688,
0.83,-59.8009,-5.3,0.322,-0.051022,
0.835,-60.0554,-5.2,0.714,-0.053155,
0.84,-60.3063,-5.2,5.45,-0.048888,
0.845,-60.5565,-5.2,-1.336,-0.052088,
0.85,-60.7945,-5.2,1.101,-0.044977,
0.855,-61.0289,-5.2,-2.339,-0.049333,
0.86,-61.2505,-5.2,2.527,-0.045066,
0.865,-61.4617,-5.2,-6.042,-0.047288,
0.87,-61.6564,-5.2,2.467,-0.040711,
0.875,-61.8456,-5.3,-0.973,-0.038577,
0.88,-62.0323,-5.3,3.202,-0.038488,
0.885,-62.2087,-5.2,-0.66,-0.035822,
0.89,-62.3851,-5.2,0.965,-0.034133,
0.895,-62.5566,-5.2,-9.511,-0.041244,
0.9,-62.7135,-5.2,0.612,-0.030933,
0.905,-62.8655,-5.3,-7.321,-0.033688,
0.91,-63.0107,-5.2,2.908,-0.029777,
0.915,-63.1468,-5.2,-0.036,-0.027644,
0.92,-63.2762,-5.4,1.165,-0.024977,
0.925,-63.3916,-5.7,0.006,-0.021155,
0.93,-63.4947,-6.6,1.461,-0.0184,
0.935,-63.5698,-6.5,-0.155,-0.017333,
0.94,-63.6333,-6.4,-0.893,-0.011377,
0.945,-63.7053,-6.5,-0.577,-0.019022,
0.95,-63.7743,-6.6,-1.38,-0.010311,
0.955,-63.8536,-6.6,-6.136,-0.017866,
0.96,-63.9226,-6.8,1.751,-0.010844,
0.965,-63.9903,-6.6,1.132,-0.010311,
0.97,-64.0416,-6.6,5.966,-0.005955,
0.975,-64.0794,-6.6,-6.054,-0.009688,
0.98,-64.1057,-6.6,2.604,-0.003288,
0.985,-64.1191,-6.6,-2.053,-0.003822,
0.99,-64.1234,-6.5,2.451,0,
0.995,-64.1252,-6.5,-4.047,-0.002666,
1,-64.1313,-6.5,-3.801,-0.006488,
1.005,-64.1716,-6.7,-6.86,-0.015199,
1.01,-64.2949,-6.6,-2.934,-0.032533,
1.015,-64.5201,-6.6,-1.627,-0.053155,
1.02,-64.8326,-6.6,-2.739,-0.071022,
1.025,-65.2342,-6.7,-2.812,-0.086755,
1.03,-65.7091,-6.8,0.38,-0.100888,
1.035,-66.2444,-7.3,-5.931,-0.111822,
1.04,-66.8358,-7.5,-2.619,-0.120977,
1.045,-67.4492,-7.3,0.744,-0.122044,
1.05,-68.0791,-8,1.8,-0.126399,
1.055,-68.7126,-9.2,1.979,-0.124177,
1.06,-69.3291,-10.6,-1.519,-0.121511,
1.065,-69.9114,-11.9,4.629,-0.113422,
1.07,-70.432,-20.9,8.949,-0.093866,
1.075,-70.7079,-33.7,11.674,-0.031466,
1.08,-70.7146,-33.2,3.12,0.006488,
1.085,-70.6963,-31.5,1.527,-0.001688,
1.09,-70.7121,-32.4,-4.32,-0.007555,
1.095,-70.7329,-34,-0.03,-0.006488,
1.1,-70.7347,-34.5,2.208,-0.002133,
1.105,-70.725,-34.4,-4.102,0,
1.11,-70.7091,-33.6,0.925,0.005422,
1.115,-70.6596,-30.1,-1.343,0.014666,
1.12,-70.5577,-24,0.312,0.023377,
1.125,-70.4247,-18.3,-0.189,0.028711,
1.13,-70.2654,-14,3.437,0.039022,
1.135,-70.0511,-11.7,4.21,0.052088,
1.14,-69.7173,-10.8,4.94,0.079733,
1.145,-69.2406,-9.9,5.794,0.108533,
1.15,-68.6235,-9.2,5.547,0.131288,
1.155,-67.9295,-8.3,-1.492,0.141066,
1.16,-67.2057,-7.4,-1.355,0.144266,
1.165,-66.4977,-6.6,-3.279,0.138844,
1.17,-65.8605,-6.2,-2.999,0.119822,
1.175,-65.3349,-6.4,-2.673,0.093866,
1.18,-64.9254,-6.6,-5.092,0.074844,
1.185,-64.6459,-6.6,-6.413,0.045511,
1.19,-64.4701,-6.4,-4.392,0.027644,
1.195,-64.3987,-6.4,-6.844,0.008622,
1.2,-64.395,-6.3,5.214,0.005422,
1.205,-64.4011,-6.4,-1.619,-0.001066,
1.21,-64.4011,-6.4,0.739,0.001066,
1.215,-64.3987,-6.4,2.644,0.001066,
1.22,-64.4011,-6.4,-3.251,-0.002133,
1.225,-64.3999,-6.4,2.155,0.002133,
1.23,-64.3999,-6.4,-0.84,0,
1.235,-64.3999,-6.4,3.156,0.0016,
1.24,-64.3987,-6.4,-1.396,0.002133,
1.245,-64.4005,-6.4,0.68,-0.000533,
1.25,-64.4011,-6.4,-1.895,-0.001066,
1.255,-64.3999,-6.4,-1.896,0.000533,
1.26,-64.3987,-6.4,-1.814,-0.003288,
1.265,-64.4011,-6.4,-2.929,-0.001066,
1.27,-64.3981,-6.4,-1.018,0.000533,
1.275,-64.3987,-6.4,-0.165,0,
1.28,-64.3999,-6.5,-0.496,-0.001066,
1.285,-64.3974,-6.4,0.181,0.003288,
1.29,-64.3999,-6.5,-3.217,-0.001066,
1.295,-64.3999,-6.4,-0.433,0,
1.3,-64.3987,-6.5,-2.455,0,
1.305,-64.3974,-6.5,-3.692,-0.002133,
1.31,-64.3999,-6.4,-2.162,-0.001066,
1.315,-64.4023,-6.5,1.758,0.001066,
1.32,-64.3999,-6.4,-0.666,0.001066,
1.325,-64.4005,-6.4,0.298,-0.0016,
1.33,-64.3999,-6.5,1.476,0,
1.335,-64.3987,-6.4,1.054,0.001066,
1.34,-64.3987,-6.4,-1.217,-0.001155,
1.345,-64.3999,-6.5,-2.447,-0.001066,
1.35,-64.3981,-6.4,0.592,-0.000622,
1.355,-64.3999,-6.5,-2.193,-0.001066,
1.36,-64.3987,-6.4,-0.372,0.000533,
1.365,-64.4048,-6.4,-8.713,-0.008177,
1.37,-64.3974,-6.4,0.19,0.002755,
1.375,-64.3999,-6.5,-2.228,-0.002222,
1.38,-64.3962,-6.5,0.346,0.003288,
1.385,-64.3987,-6.5,-0.558,0.001066,
1.39,-64.4005,-6.4,0.35,0.0016,
1.395,-64.4011,-6.4,-4.263,-0.003822,
1.4,-64.3987,-6.5,-0.031,0.000533,
1.405,-64.3999,-6.5,-2.694,-0.001066,
1.41,-64.4011,-6.5,2.495,-0.001066,
1.415,-64.3999,-6.4,-1.318,0,
1.42,-64.3987,-6.5,-4.741,0,
1.425,-64.3987,-6.4,2.246,0.0032,
1.43,-64.4011,-6.4,-1.272,-0.001066,
1.435,-64.4011,-6.5,0.54,-0.002133,
1.44,-64.3987,-6.5,-0.259,0.001066,
1.445,-64.4029,-6.5,-1.582,-0.002666,
1.45,-64.3999,-6.4,-0.829,-0.000533,
1.455,-64.4011,-6.5,-0.54,-0.001066,
1.46,-64.4005,-6.5,-0.992,-0.0016,
1.465,-64.4011,-6.4,0.698,0.000533,
1.47,-64.4023,-6.4,1.247,0,
1.475,-64.4035,-6.4,-0.826,-0.004266,
1.48,-64.4017,-6.4,0.902,-0.0016,
1.485,-64.4035,-6.4,-2.639,-0.0032,
1.49,-64.4048,-6.4,-3.962,-0.007644,
1.495,-64.3999,-6.4,4.302,0.0016,
1.5,-64.4035,-6.5,-0.511,-0.0032,
1.505,-64.3999,-6.5,4.3,0.000533,
1.51,-64.4029,-6.4,2.246,-0.002666,
1.515,-64.4011,-6.4,-2.479,-0.001066,
1.52,-64.4023,-6.5,-3.889,-0.002133,
1.525,-64.3993,-6.4,2.362,0.000533,
1.53,-64.3974,-6.4,-2.79,-0.001066,
1.535,-64.3999,-6.4,1.151,0.000533,
1.54,-64.3999,-6.5,-0.841,-0.001066,
1.545,-64.3993,-6.4,-0.247,0.0016,
1.55,-64.4023,-6.4,-2.799,-0.002666,
1.555,-64.4011,-6.4,-1.122,-0.001066,
1.56,-64.4023,-6.4,-1.403,-0.0032,
1.565,-64.3999,-6.5,0.619,0.000533,
1.57,-64.3999,-6.4,1.383,0.001066,
1.575,-64.4023,-6.5,-0.314,-0.0032,
1.58,-64.3987,-6.5,-0.31,0.001066,
1.585,-64.3974,-6.5,2.023,0.002222,
1.59,-64.3962,-6.5,-1.17,0.001066,
1.595,-64.3981,-6.5,0.8,0.0016,
1.6,-64.4005,-6.4,-2.85,-0.002755,
1.605,-64.4011,-6.4,-2.937,-0.001066,
1.61,-64.4042,-6.4,-1.533,-0.003822,
1.615,-64.3987,-6.5,-0.199,0.001066,
1.62,-64.3962,-6.5,1.799,0.005422,
1.625,-64.3999,-6.5,-1.973,-0.001066,
1.63,-64.4011,-6.5,-1.964,-0.002133,
1.635,-64.3987,-6.5,-1.502,0.001066,
1.64,-64.3987,-6.4,-2.295,0.0032,
1.645,-64.3981,-6.4,-3.994,-0.001688,
1.65,-64.3981,-6.4,-3.681,0.0016,
1.655,-64.4017,-6.5,-7.007,-0.005422,
1.66,-64.3999,-6.4,-4.575,-0.000533,
1.665,-64.3999,-6.4,-0.976,0,
1.67,-64.3999,-6.4,1.365,0,
1.675,-64.4011,-6.5,-1.101,-0.001066,
1.68,-64.395,-6.4,2.553,0.004355,
1.685,-64.3999,-6.4,-3.453,-0.002222,
1.69,-64.4011,-6.5,0.903,0.001066,
1.695,-64.3987,-6.5,1.376,0.002666,
1.7,-64.4035,-6.5,-4.402,-0.0032,
1.705,-64.4194,-6.5,0.581,-0.004888,
1.71,-64.4731,-6.6,-2.907,-0.0184,
1.715,-64.6178,-6.7,-4.332,-0.036888,
1.72,-64.8711,-6.7,-0.853,-0.055377,
1.725,-65.2403,-6.9,-3.512,-0.082933,
1.73,-65.6975,-7.2,-4.983,-0.097688,
1.735,-66.2431,-7.3,-1.085,-0.113866,
1.74,-66.8425,-7.2,-4.512,-0.124799,
1.745,-67.4718,-7.6,-2.712,-0.127555,
1.75,-68.112,-8.7,1.861,-0.129066,
1.755,-68.7474,-9.9,2.984,-0.127466,
1.76,-69.3553,-11.4,3.683,-0.116622,
1.765,-69.9278,-12.7,2.37,-0.112266,
1.77,-70.4363,-21.4,2.967,-0.095022,
1.775,-70.7127,-34,13.872,-0.030844,
1.78,-70.7146,-33.6,0.824,0.005955,
1.785,-70.6969,-32,-6.169,-0.001066,
1.79,-70.7134,-33,-1.839,-0.004355,
1.795,-70.7341,-34.5,-0.805,-0.004355,
1.8,-70.7353,-35,0.808,0.003288,
1.805,-70.7256,-34.8,2.036,0.002666,
1.81,-70.7121,-34,-3.232,0.001688,
1.815,-70.6621,-30.4,0.751,0.012444,
1.82,-70.5565,-24.3,4.081,0.025511,
1.825,-70.4283,-18.6,1.837,0.026577,
1.83,-70.2709,-14.3,5.026,0.034666,
1.835,-70.0505,-12.1,5.683,0.052088,
1.84,-69.7197,-11.2,6.318,0.076,
1.845,-69.2339,-10.3,6.292,0.109599,
1.85,-68.6211,-9.5,4.298,0.132355,
1.855,-67.9302,-8.6,1.458,0.139911,
1.86,-67.2044,-7.7,-1.586,0.145955,
1.865,-66.5007,-6.9,-4.307,0.135644,
1.87,-65.8611,-6.3,-4.721,0.120977,
1.875,-65.3356,-6.2,-7.225,0.096533,
1.88,-64.9291,-6.6,-7.737,0.070488,
1.885,-64.6434,-6.7,-9.723,0.0488,
1.89,-64.4701,-6.5,-5.017,0.027644,
1.895,-64.3987,-6.4,-4.407,0.007555,
1.9,-64.3974,-6.3,1.201,0.000622,
1.905,-64.3999,-6.4,3.032,-0.001066,
1.91,-64.4035,-6.4,2.674,-0.0032,
1.915,-64.4023,-6.4,-1.768,-0.002133,
1.92,-64.3974,-6.5,-1.844,-0.001066,
1.925,-64.4029,-6.4,-0.722,-0.002666,
1.93,-64.3999,-6.5,4.139,0,
1.935,-64.3974,-6.4,-1.49,0.001155,
1.94,-64.3974,-6.4,-0.471,0.002222,
1.945,-64.3999,-6.4,-2.336,-0.002755,
1.95,-64.3999,-6.4,-6.541,-0.003288,
1.955,-64.3974,-6.4,2.751,0.002222,
1.96,-64.4011,-6.4,1.052,-0.002133,
1.965,-64.4011,-6.4,-0.883,-0.002133,
1.97,-64.4035,-6.4,0.729,-0.0032,
1.975,-64.3987,-6.4,0.493,0.001066,
1.98,-64.3999,-6.4,-3.409,-0.002222,
1.985,-64.3999,-6.4,0.491,0.000533,
1.99,-64.3999,-6.5,-2.496,-0.001066,
1.995,-64.3987,-6.4,-0.501,-0.001155,
2,-64.3999,-6.5,1.035,0.001066,
2.005,-64.3987,-6.5,0.127,-0.001155,
2.01,-64.4023,-6.4,-0.245,-0.005422,
2.015,-64.3987,-6.4,-1.833,0,
2.02,-64.3974,-6.4,0.015,0.001155,
2.025,-64.3999,-6.5,1.433,0,
2.03,-64.4011,-6.4,-3.187,-0.002133,
2.035,-64.4011,-6.4,-0.115,-0.001066,
2.04,-64.3987,-6.5,0.83,0.001066,
2.045,-64.3962,-6.5,6.303,0.005422,
2.05,-64.395,-6.4,3.643,0.004355,
2.055,-64.3999,-6.4,-2.074,-0.003288,
2.06,-64.3968,-6.5,4.391,0.003822,
2.065,-64.3999,-6.4,0.759,-0.001066,
2.07,-64.4029,-6.4,2.02,-0.003733,
2.075,-64.4023,-6.4,-1.166,-0.001066,
2.08,-64.3974,-6.5,3.665,0.003822,
2.085,-64.4023,-6.4,0.124,-0.001066,
2.09,-64.3968,-6.4,7.019,0.003822,
2.095,-64.4017,-6.5,-0.11,-0.0016,
2.1,-64.3974,-6.4,2.451,0.003822,
2.105,-64.4035,-6.4,-7.288,-0.004266,
2.11,-64.395,-6.4,6.455,0.007555,
2.115,-64.3962,-6.5,-5.264,-0.001066,
2.12,-64.3999,-6.5,-8.148,0,
2.125,-64.3999,-6.4,0.185,0,
2.13,-64.3974,-6.5,2.168,0.002222,
2.135,-64.3987,-6.4,1.932,0.001066,
2.14,-64.3987,-6.4,-2.466,-0.001155,
2.145,-64.3993,-6.4,-0.597,0,
2.15,-64.3962,-6.4,-2.596,0.001066,
2.155,-64.3974,-6.5,-3.452,-0.001066,
2.16,-64.4023,-6.4,-0.894,-0.0032,
2.165,-64.3962,-6.4,2.677,0.003288,
2.17,-64.3987,-6.4,-3.14,0.000533,
2.175,-64.3999,-6.5,1.505,-0.001066,
2.18,-64.3968,-6.4,2.642,0.001688,
2.185,-64.3999,-6.5,2.176,-0.0016,
2.19,-64.4011,-6.4,-0.074,-0.002133,
2.195,-64.3999,-6.4,-0.162,0.000533,
2.2,-64.3987,-6.5,3.723,0.002133,
2.205,-64.395,-6.4,4.801,0.004355,
2.21,-64.3999,-6.4,-0.448,0,
2.215,-64.3974,-6.4,5.417,0.001688,
2.22,-64.4005,-6.5,-1.133,0,
2.225,-64.3999,-6.4,-0.152,-0.002222,
2.23,-64.3999,-6.4,-3.325,-0.004355,
2.235,-64.3974,-6.4,-4.082,-0.001066,
2.24,-64.3999,-6.5,0.321,-0.002222,
2.245,-64.395,-6.4,-0.703,0.002133,
2.25,-64.3999,-6.4,-0.384,-0.001066,
2.255,-64.3981,-6.5,1.331,0.0016,
2.26,-64.3987,-6.4,1.785,0.000533,
2.265,-64.3999,-6.4,-2.266,-0.001066,
2.27,-64.3987,-6.4,1.223,-0.001155,
2.275,-64.4005,-6.4,-0.226,-0.002755,
2.28,-64.4011,-6.4,3.911,-0.004355,
2.285,-64.4035,-6.4,0.421,-0.001066,
2.29,-64.3999,-6.4,-1.274,0.0016,
2.295,-64.3974,-6.4,3.048,0.003288,
2.3,-64.3987,-6.5,2.028,0.004266,
2.305,-64.3974,-6.5,-0.058,0.002755,
2.31,-64.3999,-6.4,0.548,0,
2.315,-64.3999,-6.5,1.641,0,
2.32,-64.3993,-6.4,2.491,0.001066,
2.325,-64.4011,-6.4,-0.423,-0.001066,
2.33,-64.4005,-6.4,1.793,0.002666,
2.335,-64.4023,-6.4,1.603,-0.002133,
2.34,-64.3987,-6.5,0.95,0.001066,
2.345,-64.3962,-6.4,-1.404,0.002222,
2.35,-64.3999,-6.5,-1.591,0,
2.355,-64.3962,-6.5,1.981,0.003288,
2.36,-64.3999,-6.4,-5.428,-0.003288,
2.365,-64.4023,-6.5,0.24,-0.0016,
2.37,-64.3962,-6.4,2.611,0.002222,
2.375,-64.3987,-6.4,-2.396,0.001066,
2.38,-64.3999,-6.4,-3.179,-0.002222,
2.385,-64.3993,-6.5,2.973,-0.001066,
2.39,-64.3974,-6.5,-6.098,-0.001066,
2.395,-64.3987,-6.4,0.529,0,
2.4,-64.4017,-6.5,-2.223,-0.004355,
2.405,-64.4158,-6.4,-1.654,-0.002222,
2.41,-64.4719,-6.6,-3.851,-0.016266,
2.415,-64.6214,-6.7,-7.787,-0.040088,
2.42,-64.876,-6.8,-3.337,-0.059733,
2.425,-65.2409,-6.9,-2.9,-0.080266,
2.43,-65.7042,-7.2,2.131,-0.098222,
2.435,-66.2492,-7.2,-0.443,-0.113333,
2.44,-66.8492,-7.2,-2.682,-0.122044,
2.445,-67.4785,-7.8,-1.236,-0.127999,
2.45,-68.1145,-9,-0.447,-0.126933,
2.455,-68.7431,-10.4,-0.093,-0.124177,
2.46,-69.3547,-11.7,5.156,-0.120444,
2.465,-69.9199,-13.1,1.016,-0.109599,
2.47,-70.4277,-21.4,14.705,-0.089511,
2.475,-70.7066,-34.2,14.038,-0.029777,
2.48,-70.7152,-34,2.332,0.006488,
2.485,-70.7018,-32.3,-3.877,-0.004888,
2.49,-70.7115,-33.1,-2.078,-0.0016,
2.495,-70.7341,-34.7,-4.331,-0.004355,
2.5,-70.7353,-35.1,2.665,0.001155,
2.505,-70.725,-35,-4.189,0.000533,
2.51,-70.7146,-34.1,-5.305,-0.000533,
2.515,-70.6627,-30.5,3.948,0.011911,
2.52,-70.562,-24.5,-1.069,0.021155,
2.525,-70.4302,-18.7,-2.733,0.023288,
2.53,-70.2709,-14.4,2.177,0.037422,
2.535,-70.0572,-12.2,5.513,0.047733,
2.54,-69.7203,-11.3,5.988,0.078666,
2.545,-69.2394,-10.4,7.777,0.108977,
2.55,-68.6241,-9.7,1.628,0.130222,
2.555,-67.932,-8.8,-1.216,0.14,
2.56,-67.2057,-7.9,0.096,0.145955,
2.565,-66.4995,-7.1,-2.405,0.136711,
2.57,-65.8629,-6.4,-3.214,0.120444,
2.575,-65.3368,-6.3,-4.132,0.096,
2.58,-64.9297,-6.6,-4.473,0.071022,
2.585,-64.6465,-6.7,-5.828,0.045511,
2.59,-64.4792,-6.6,-4.857,0.019555,
2.595,-64.4005,-6.5,-6.15,0.007022,
2.6,-64.3999,-6.3,3.96,0.000533,
2.605,-64.4011,-6.4,1.233,-0.000533,
2.61,-64.4023,-6.4,2.56,0.001688,
2.615,-64.4035,-6.4,-0.585,-0.0032,
2.62,-64.4011,-6.4,0.548,0,
2.625,-64.4023,-6.5,-0.252,-0.000533,
2.63,-64.4011,-6.4,6.744,-0.000533,
2.635,-64.3999,-6.4,-3.658,-0.001066,
2.64,-64.3993,-6.4,2.909,0.000533,
2.645,-64.4029,-6.4,-0.575,-0.002666,
2.65,-64.3999,-6.5,2.331,-0.001066,
2.655,-64.4011,-6.5,-0.345,-0.001066,
2.66,-64.3987,-6.4,1.714,0.002133,
