Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.1501,-5.2,-0.636,-0.000533,
0.005,-0.1495,-5.1,-2.223,0.005422,
0.01,-0.1562,-5.1,-6.653,-0.007022,
0.015,-0.1538,-5.2,1.558,0.000533,
0.02,-0.1562,-5.1,-0.927,-0.0016,
0.025,-0.1519,-5.1,4.26,0.004888,
0.03,-0.1562,-5.1,-1.608,-0.002666,
0.035,-0.1544,-5.2,0.57,0.002133,
0.04,-0.1586,-5.2,-3.119,-0.002133,
0.045,-0.1568,-5.1,-1.036,0,
0.05,-0.1586,-5,-2.566,-0.001066,
0.055,-0.155,-5.1,5.686,0.004355,
0.06,-0.169,-5.1,-3.969,-0.007022,
0.065,-0.1696,-5.2,4.357,0.003822,
0.07,-0.1751,-5.1,-3.947,-0.002666,
0.075,-0.1775,-5.2,4.561,0,
0.08,-0.1915,-5.3,-4.662,-0.006488,
0.085,-0.2532,-5.5,-0.906,-0.019022,
0.09,-0.3905,-5.4,-3.175,-0.035288,
0.095,-0.565,-5.2,1.55,-0.035733,
0.1,-0.7646,-5.2,-2.782,-0.042311,
0.105,-0.9557,-5.1,2.591,-0.036888,
0.11,-1.1388,-5,0,-0.034755,
0.115,-1.2987,-5,-1.146,-0.031999,
0.12,-1.4488,-5,-4.018,-0.031999,
0.125,-1.5849,-5.1,-3.285,-0.028177,
0.13,-1.7284,-5.2,-4.496,-0.033155,
0.135,-1.8779,-5.2,-1.746,-0.031466,
0.14,-2.0476,-5.2,-3.626,-0.033066,
0.145,-2.2344,-5.2,1.21,-0.035288,
0.15,-2.4394,-5.2,-2.287,-0.043911,
0.155,-2.6549,-5.2,3.007,-0.038488,
0.16,-2.8905,-5.2,-6.876,-0.049422,
0.165,-3.1224,-5.2,-1.273,-0.044977,
0.17,-3.3641,-5.1,-2.051,-0.053155,
0.175,-3.5973,-5.2,0.576,-0.0472,
0.18,-3.8439,-5.2,-4.429,-0.052711,
0.185,-4.0923,-5.2,1.885,-0.046133,
0.19,-4.3578,-5.1,0.132,-0.053777,
