Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.1519,-5.1,2.841,0.004355,
0.005,-0.1513,-5.2,-2.137,0.001066,
0.01,-0.1532,-5.1,-2.064,-0.001688,
0.015,-0.1489,-5.1,1.497,0.004355,
0.02,-0.155,-5.1,-0.82,-0.0016,
0.025,-0.1525,-5.1,-0.264,0,
0.03,-0.1568,-5.1,-0.184,-0.003822,
0.035,-0.1556,-5.1,-0.776,0.000533,
0.04,-0.1556,-5.1,0.903,0.000533,
0.045,-0.1562,-5.1,-0.342,-0.000533,
0.05,-0.1593,-5.1,1.591,-0.002222,
0.055,-0.1562,-5.1,-2.404,0.002133,
0.06,-0.1654,-5,1.655,-0.002755,
0.065,-0.1709,-5,0.236,-0.001155,
0.07,-0.1757,-5.1,-0.324,-0.001066,
0.075,-0.1733,-5.2,-1.429,0.002666,
0.08,-0.1842,-5.2,1.82,-0.002222,
0.085,-0.2306,-5.5,-4.9,-0.012,
0.09,-0.3526,-5.4,2.45,-0.026044,
0.095,-0.5321,-5.3,-2.517,-0.038488,
0.1,-0.7353,-5.1,-3.216,-0.045511,
0.105,-0.9355,-5,-1.1,-0.036355,
0.11,-1.129,-4.9,1.672,-0.035822,
0.115,-1.2932,-5,1.697,-0.028799,
0.12,-1.4501,-5,0.335,-0.032622,
0.125,-1.5819,-5.1,-3.823,-0.025511,
0.13,-1.7229,-5.1,3.991,-0.029866,
0.135,-1.8651,-5.2,-1.555,-0.028799,
0.14,-2.0366,-5.2,-2.181,-0.035822,
0.145,-2.2234,-5.2,-3.625,-0.036355,
0.15,-2.4266,-5.2,-4.432,-0.041244,
0.155,-2.6421,-5.1,-2.493,-0.043466,
0.16,-2.8734,-5.2,-2.295,-0.0456,
0.165,-3.1072,-5.2,-3.212,-0.048355,
0.17,-3.3446,-5.1,0.354,-0.0472,
0.175,-3.5802,-5.1,-1.253,-0.046666,
0.18,-3.8237,-5.1,-0.338,-0.051022,
0.185,-4.074,-5.2,-3.06,-0.048355,
0.19,-4.3321,-5.2,-0.149,-0.050933,
0.195,-4.6001,-5.2,-1.11,-0.053155,
0.2,-4.876,-5.1,1.88,-0.057511,
0.205,-5.1604,-5.2,-0.92,-0.055911,
0.21,-5.4503,-5.1,2.511,-0.054755,
0.215,-5.7579,-5.2,1.014,-0.061866,
0.22,-6.0655,-5.2,-3.011,-0.063999,
0.225,-6.3817,-5.2,-4.152,-0.060266,
0.23,-6.7046,-5.1,0.78,-0.064622,
0.235,-7.0311,-5.2,-1.753,-0.064533,
0.24,-7.3619,-5.1,-1.926,-0.069422,
0.245,-7.697,-5.2,0.401,-0.065066,
0.25,-8.0492,-5.2,1.811,-0.072711,
0.255,-8.4117,-5.2,-1.765,-0.072711,
0.26,-8.7883,-5.1,0.453,-0.076444,
0.265,-9.1679,-5.2,-2.703,-0.075911,
0.27,-9.5543,-5.2,0.891,-0.078133,
0.275,-9.9474,-5.2,1.034,-0.076533,
0.28,-10.3496,-5.1,0.958,-0.078666,
0.285,-10.7506,-5.2,6.323,-0.076,
0.29,-11.1626,-5.2,1.728,-0.086844,
0.295,-11.5746,-5.2,0.006,-0.085244,
0.3,-11.9951,-5.2,3.592,-0.084622,
0.305,-12.423,-5.2,-0.339,-0.085244,
0.31,-12.8551,-5.2,-0.46,-0.089511,
0.315,-13.2842,-5.2,2.716,-0.079288,
0.32,-13.7236,-5.2,5.619,-0.084088,
0.325,-14.1667,-5.2,1.722,-0.088977,
0.33,-14.619,-5.2,-3.399,-0.0928,
0.335,-15.0786,-5.2,-1.964,-0.092266,
0.34,-15.5437,-5.2,0.047,-0.094933,
0.345,-16.0094,-5.2,-0.043,-0.0944,
0.35,-16.4775,-5.2,-2.643,-0.096533,
0.355,-16.9444,-5.2,0.192,-0.093244,
0.36,-17.4132,-5.2,2.067,-0.091733,
0.365,-17.8862,-5.2,3.656,-0.092177,
0.37,-18.3592,-5.2,-0.402,-0.094933,
0.375,-18.8316,-5.3,-1.226,-0.093244,
0.38,-19.3047,-5.2,-1.227,-0.096088,
0.385,-19.7716,-5.3,-2.099,-0.096,
0.39,-20.2471,-5.3,-1.347,-0.096622,
0.395,-20.725,-5.2,2.587,-0.093333,
0.4,-21.2157,-5.2,-1.728,-0.099288,
0.405,-21.7058,-5.2,5.477,-0.097155,
0.41,-22.1941,-5.2,3.192,-0.098755,
0.415,-22.6799,-5.2,0.503,-0.091111,
0.42,-23.1719,-5.2,1.165,-0.099822,
0.425,-23.6528,-5.2,-0.196,-0.094933,
0.43,-24.1338,-5.3,-0.47,-0.0928,
0.435,-24.6147,-5.3,-3.049,-0.098133,
0.44,-25.1,-5.2,4.454,-0.095022,
0.445,-25.5754,-5.3,1.248,-0.093866,
0.45,-26.0613,-5.3,0.637,-0.098755,
0.455,-26.5544,-5.3,-1.354,-0.100355,
0.46,-27.0531,-5.3,1.398,-0.098755,
0.465,-27.5627,-5.3,-1.984,-0.103644,
0.47,-28.0663,-5.3,3.187,-0.100977,
0.475,-28.5783,-5.2,-0.454,-0.102488,
0.48,-29.088,-5.2,1.486,-0.103111,
0.485,-29.5989,-5.3,-1.217,-0.102577,
0.49,-30.1048,-5.3,-1.291,-0.103022,
0.495,-30.62,-5.3,-0.364,-0.100888,
0.5,-31.1357,-5.2,3.853,-0.100888,
0.505,-31.6545,-5.2,0.211,-0.104711,
