Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3215,-5.1,-4.75,0.005955,
0.005,-0.2214,-4.3,9.945,0.034222,
0.01,-0.1477,-5.3,-15.643,-0.013599,
0.015,-0.1568,-5.2,8.585,0.007644,
0.02,-0.1605,-4.8,-3.407,-0.003822,
0.025,-0.1611,-5,3.087,0.001066,
0.03,-0.1611,-5.2,-2.93,-0.001066,
0.035,-0.1611,-5,4.303,0.002133,
0.04,-0.1623,-5.2,-1.957,-0.002666,
0.045,-0.1666,-5.2,1.054,-0.002222,
0.05,-0.1672,-5.1,-1.382,-0.003288,
0.055,-0.1641,-5.1,3.385,0.002755,
0.06,-0.1727,-5.2,-3.424,-0.003822,
0.065,-0.1817,-5.2,7.724,0.001155,
0.07,-0.1952,-5.2,-1.328,-0.003288,
0.075,-0.2019,-5.2,-0.721,-0.001066,
0.08,-0.2452,-5.4,-6.153,-0.012977,
0.085,-0.3325,-5.3,3.635,-0.018488,
0.09,-0.4619,-5.3,-3.087,-0.030399,
0.095,-0.6084,-5.2,-2.505,-0.032533,
0.1,-0.7762,-5.2,-2.164,-0.036355,
0.105,-0.949,-5.1,-2.943,-0.035288,
0.11,-1.1174,-5.1,-3.195,-0.035822,
0.115,-1.2682,-5,5.821,-0.029866,
0.12,-1.4214,-5.1,-2.158,-0.034222,
0.125,-1.5703,-5.1,1.35,-0.033066,
0.13,-1.7284,-5.2,-2.335,-0.035822,
0.135,-1.884,-5.1,0.042,-0.032533,
0.14,-2.0574,-5.2,-2.203,-0.037511,
0.145,-2.2441,-5.2,1.136,-0.040711,
0.15,-2.4492,-5.2,-7.366,-0.0488,
0.155,-2.6579,-5.2,4.74,-0.041155,
0.16,-2.8789,-5.2,-4.424,-0.046666,
0.165,-3.1102,-5.2,-0.115,-0.047733,
0.17,-3.3531,-5.2,-3.124,-0.052088,
0.175,-3.5942,-5.1,5.646,-0.047733,
0.18,-3.8445,-5.2,-4.092,-0.052622,
0.185,-4.0929,-5.1,2.302,-0.048266,
0.19,-4.3553,-5.2,-5.692,-0.054755,
0.195,-4.6214,-5.2,-2.111,-0.055822,
0.2,-4.9046,-5.2,-7.519,-0.059644,
0.205,-5.1897,-5.1,3.863,-0.054844,
0.21,-5.4857,-5.1,-5.907,-0.060266,
0.215,-5.7829,-5.1,0.486,-0.059111,
0.22,-6.0887,-5.1,-3.665,-0.061866,
0.225,-6.4055,-5.2,4.704,-0.061333,
0.23,-6.7272,-5.2,-3.272,-0.066222,
0.235,-7.0525,-5.2,2.039,-0.064622,
0.24,-7.3869,-5.2,-2.472,-0.067822,
0.245,-7.7294,-5.2,2.082,-0.068977,
0.25,-8.0827,-5.2,-3.183,-0.073244,
0.255,-8.4404,-5.2,0.013,-0.071022,
0.26,-8.8133,-5.2,-3.239,-0.077511,
0.265,-9.1979,-5.2,0.177,-0.080355,
0.27,-9.5867,-5.2,-3.073,-0.080355,
0.275,-9.9791,-5.2,2.301,-0.078133,
0.28,-10.3819,-5.2,-4.408,-0.084622,
0.285,-10.7854,-5.2,1.953,-0.081955,
0.29,-11.1968,-5.2,-3.188,-0.085777,
0.295,-11.6118,-5.1,3.279,-0.082488,
0.3,-12.039,-5.2,-1.833,-0.088355,
0.305,-12.4681,-5.2,3.183,-0.086755,
0.31,-12.8941,-5.2,-2.816,-0.085688,
0.315,-13.3336,-5.2,1.393,-0.089511,
0.32,-13.7779,-5.2,-3.774,-0.087822,
0.325,-14.2247,-5.2,-1.032,-0.0928,
0.33,-14.6666,-5.3,-5.214,-0.088444,
0.335,-15.1189,-5.2,0.854,-0.088977,
0.34,-15.5773,-5.3,-4.329,-0.095555,
0.345,-16.0417,-5.3,0.653,-0.090577,
0.35,-16.5117,-5.2,1.093,-0.094933,
0.355,-16.9804,-5.3,0.814,-0.094933,
0.36,-17.451,-5.2,-1.724,-0.093333,
0.365,-17.9289,-5.2,-0.481,-0.095466,
0.37,-18.4013,-5.2,1.919,-0.092711,
0.375,-18.8786,-5.2,0.184,-0.093244,
0.38,-19.3596,-5.3,-0.64,-0.096,
0.385,-19.832,-5.2,1.072,-0.0944,
0.39,-20.3014,-5.3,1.316,-0.0928,
0.395,-20.7774,-5.2,-0.6,-0.094933,
0.4,-21.2566,-5.2,-1.427,-0.097155,
0.405,-21.74,-5.3,1.141,-0.093333,
0.41,-22.2344,-5.3,-3.944,-0.102577,
0.415,-22.7208,-5.2,-0.703,-0.097688,
0.42,-23.2121,-5.2,-0.838,-0.099288,
0.425,-23.6968,-5.2,3.76,-0.0944,
0.43,-24.1838,-5.2,-0.23,-0.096533,
0.435,-24.6666,-5.3,2.615,-0.094933,
0.44,-25.1549,-5.3,-3.23,-0.100888,
0.445,-25.6389,-5.3,4.175,-0.095466,
0.45,-26.1272,-5.3,-2.168,-0.097688,
0.455,-26.613,-5.3,1.52,-0.097066,
0.46,-27.105,-5.3,0.706,-0.101511,
0.465,-27.5981,-5.3,0.824,-0.099288,
0.47,-28.0998,-5.3,-0.381,-0.100355,
0.475,-28.6089,-5.3,2.703,-0.099822,
0.48,-29.1234,-5.3,-1.028,-0.105244,
0.485,-29.6373,-5.3,3.43,-0.103644,
0.49,-30.15,-5.3,-0.874,-0.103644,
0.495,-30.6694,-5.3,-2.533,-0.105244,
0.5,-31.1913,-5.2,-1.78,-0.107999,
0.505,-31.7168,-5.2,0.383,-0.105777,
0.51,-32.2429,-5.2,0.938,-0.105777,
0.515,-32.7654,-5.2,-1.196,-0.104711,
0.52,-33.2903,-5.3,0.761,-0.104177,
0.525,-33.8158,-5.2,0.492,-0.107999,
0.53,-34.3382,-5.2,2.39,-0.100888,
0.535,-34.8613,-5.3,1.184,-0.103644,
0.54,-35.3789,-5.3,-1.794,-0.102044,
0.545,-35.9026,-5.3,-1.326,-0.105866,
0.55,-36.422,-5.2,-2.19,-0.104177,
0.555,-36.9408,-5.2,-0.552,-0.101511,
0.56,-37.4596,-5.2,0.6,-0.102044,
0.565,-37.9741,-5.2,-1.266,-0.104177,
0.57,-38.4874,-5.2,1.751,-0.102488,
0.575,-38.9983,-5.2,-1.734,-0.103644,
0.58,-39.5073,-5.2,-0.17,-0.101955,
0.585,-40.0176,-5.2,-3.062,-0.104177,
0.59,-40.5223,-5.2,4.723,-0.098755,
0.595,-41.0301,-5.1,3.023,-0.103022,
0.6,-41.5263,-5.1,3.389,-0.098133,
0.605,-42.0213,-5.2,-1.9,-0.097066,
0.61,-42.5127,-5.1,3.935,-0.093866,
0.615,-42.9949,-5.2,7.552,-0.093866,
0.62,-43.4715,-5.2,-4.743,-0.093244,
0.625,-43.9482,-5.2,3.023,-0.092177,
0.63,-44.4212,-5.2,-2.326,-0.098666,
0.635,-44.8863,-5.2,3.264,-0.0976,
0.64,-45.3484,-5.2,-0.747,-0.0928,
0.645,-45.8135,-5.2,-1.32,-0.0944,
0.65,-46.2755,-5.2,3.24,-0.091111,
0.655,-46.7326,-5.2,-2.615,-0.092177,
0.66,-47.1855,-5.2,1.797,-0.090044,
0.665,-47.636,-5.2,-1.309,-0.092266,
0.67,-48.0815,-5.2,5.215,-0.088444,
0.675,-48.5259,-5.2,1.413,-0.086844,
0.68,-48.972,-5.2,1.01,-0.090577,
0.685,-49.4103,-5.2,-5.197,-0.090666,
0.69,-49.8412,-5.2,-0.805,-0.087911,
0.695,-50.2721,-5.2,-1.122,-0.086844,
0.7,-50.695,-5.2,0.32,-0.084088,
0.705,-51.1138,-5.2,-2.516,-0.086844,
0.71,-51.5306,-5.2,2.898,-0.082488,
0.715,-51.9524,-5.2,-0.642,-0.084088,
0.72,-52.3595,-5.2,-0.169,-0.0792,
0.725,-52.766,-5.2,-4.095,-0.080888,
0.73,-53.17,-5.1,0.862,-0.081866,
0.735,-53.5594,-5.2,-4.104,-0.080266,
0.74,-53.9525,-5.2,2.43,-0.0808,
0.745,-54.3309,-5.2,2.495,-0.072177,
0.75,-54.7136,-5.2,0.787,-0.076533,
0.755,-55.0884,-5.2,-3.094,-0.072711,
0.76,-55.457,-5.2,3.862,-0.068355,
0.765,-55.822,-5.2,-0.574,-0.074311,
0.77,-56.1742,-5.2,3.311,-0.068355,
0.775,-56.5202,-5.2,-0.146,-0.067733,
0.78,-56.8511,-5.2,-0.48,-0.065688,
0.785,-57.1745,-5.2,-1.615,-0.063999,
0.79,-57.4956,-5.2,3.222,-0.060799,
0.795,-57.8172,-5.2,2.072,-0.062311,
0.8,-58.1279,-5.2,0.149,-0.059111,
0.805,-58.4361,-5.2,-1.851,-0.061777,
0.81,-58.7309,-5.1,1.194,-0.058044,
0.815,-59.0172,-5.2,-1.457,-0.058044,
0.82,-59.2888,-5.2,1.951,-0.049333,
0.825,-59.5604,-5.2,-0.87,-0.052622,
0.83,-59.8192,-5.2,-0.127,-0.051022,
0.835,-60.0737,-5.2,0.696,-0.049333,
0.84,-60.3258,-5.2,6.216,-0.048266,
0.845,-60.5705,-5.2,-0.9,-0.0504,
0.85,-60.8037,-5.2,-2.57,-0.046666,
0.855,-61.0399,-5.2,0.898,-0.0488,
0.86,-61.2492,-5.2,1.083,-0.040622,
0.865,-61.4617,-5.2,-5.173,-0.042933,
0.87,-61.6588,-5.2,1.145,-0.037955,
0.875,-61.8547,-5.2,-1.411,-0.037955,
0.88,-62.0415,-5.2,3.927,-0.036355,
0.885,-62.2203,-5.2,-1.026,-0.033066,
0.89,-62.3876,-5.2,-0.214,-0.033688,
0.895,-62.5438,-5.2,-4.036,-0.030399,
0.9,-62.6946,-5.3,-1.986,-0.030933,
0.905,-62.8392,-5.2,-5.527,-0.027111,
0.91,-62.9857,-5.2,-1.664,-0.028177,
0.915,-63.1304,-5.3,-7.205,-0.029333,
0.92,-63.2622,-5.4,3.297,-0.026577,
0.925,-63.3891,-5.7,-1.129,-0.026577,
0.93,-63.4898,-6.7,5.322,-0.016266,
0.935,-63.5625,-6.6,-2.108,-0.011911,
0.94,-63.6211,-6.4,6.157,-0.010311,
0.945,-63.6864,-6.6,-3.018,-0.014133,
0.95,-63.7608,-6.6,2.397,-0.012444,
0.955,-63.8353,-6.7,-6.119,-0.015199,
0.96,-63.9104,-6.8,0.609,-0.011377,
0.965,-63.9745,-6.6,-5.371,-0.014133,
